00:02.718  blend            | Read blend: "C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\city_loader.blend"
00:02.781  render           | Rendering animation (frames 1..150)
00:02.781  render           | Rendering frame 1
00:02.781  render           | Start rendering: Scene, ViewLayer
00:02.781  render           | Engine: EEVEE
00:43.468  render           | Fra: 1 | Rendering 1 / 64 samples
Blender 5.1.0 (hash adfe2921d5f3 built 2026-03-17 01:37:32)
00:43.797  render           | Fra: 1 | Rendering 25 / 64 samples
00:44.125  render           | Fra: 1 | Rendering 50 / 64 samples
00:44.343  render           | Fra: 1 | Rendering 64 / 64 samples
00:44.922  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0001.png'
00:44.937  render           | Time: 00:42.15 (Saving: 00:00.44)
00:44.937  render           | Rendering frame 2
00:44.937  render           | Start rendering: Scene, ViewLayer
00:44.937  render           | Engine: EEVEE
00:45.078  render           | Fra: 2 | Rendering 1 / 64 samples
00:45.484  render           | Fra: 2 | Rendering 25 / 64 samples
00:45.906  render           | Fra: 2 | Rendering 50 / 64 samples
00:46.156  render           | Fra: 2 | Rendering 64 / 64 samples
00:46.468  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0002.png'
00:46.468  render           | Time: 00:01.53 (Saving: 00:00.20)
00:46.468  render           | Rendering frame 3
00:46.468  render           | Start rendering: Scene, ViewLayer
00:46.468  render           | Engine: EEVEE
00:46.578  render           | Fra: 3 | Rendering 1 / 64 samples
00:46.953  render           | Fra: 3 | Rendering 25 / 64 samples
00:47.375  render           | Fra: 3 | Rendering 50 / 64 samples
00:47.625  render           | Fra: 3 | Rendering 64 / 64 samples
00:47.953  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0003.png'
00:47.953  render           | Time: 00:01.48 (Saving: 00:00.22)
00:47.953  render           | Rendering frame 4
00:47.953  render           | Start rendering: Scene, ViewLayer
00:47.953  render           | Engine: EEVEE
00:48.062  render           | Fra: 4 | Rendering 1 / 64 samples
00:48.406  render           | Fra: 4 | Rendering 25 / 64 samples
00:48.828  render           | Fra: 4 | Rendering 50 / 64 samples
00:49.078  render           | Fra: 4 | Rendering 64 / 64 samples
00:49.406  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0004.png'
00:49.406  render           | Time: 00:01.45 (Saving: 00:00.21)
00:49.406  render           | Rendering frame 5
00:49.406  render           | Start rendering: Scene, ViewLayer
00:49.406  render           | Engine: EEVEE
00:49.531  render           | Fra: 5 | Rendering 1 / 64 samples
00:49.859  render           | Fra: 5 | Rendering 25 / 64 samples
00:50.281  render           | Fra: 5 | Rendering 50 / 64 samples
00:50.515  render           | Fra: 5 | Rendering 64 / 64 samples
00:50.797  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0005.png'
00:50.797  render           | Time: 00:01.39 (Saving: 00:00.17)
00:50.797  render           | Rendering frame 6
00:50.797  render           | Start rendering: Scene, ViewLayer
00:50.797  render           | Engine: EEVEE
00:50.953  render           | Fra: 6 | Rendering 1 / 64 samples
00:51.250  render           | Fra: 6 | Rendering 25 / 64 samples
00:51.656  render           | Fra: 6 | Rendering 50 / 64 samples
00:51.875  render           | Fra: 6 | Rendering 64 / 64 samples
00:52.156  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0006.png'
00:52.156  render           | Time: 00:01.35 (Saving: 00:00.18)
00:52.156  render           | Rendering frame 7
00:52.156  render           | Start rendering: Scene, ViewLayer
00:52.156  render           | Engine: EEVEE
00:52.312  render           | Fra: 7 | Rendering 1 / 64 samples
00:52.562  render           | Fra: 7 | Rendering 25 / 64 samples
00:52.953  render           | Fra: 7 | Rendering 50 / 64 samples
00:53.203  render           | Fra: 7 | Rendering 64 / 64 samples
00:53.484  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0007.png'
00:53.484  render           | Time: 00:01.31 (Saving: 00:00.18)
00:53.484  render           | Rendering frame 8
00:53.484  render           | Start rendering: Scene, ViewLayer
00:53.484  render           | Engine: EEVEE
00:53.593  render           | Fra: 8 | Rendering 1 / 64 samples
00:53.812  render           | Fra: 8 | Rendering 25 / 64 samples
00:54.203  render           | Fra: 8 | Rendering 50 / 64 samples
00:54.422  render           | Fra: 8 | Rendering 64 / 64 samples
00:54.703  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0008.png'
00:54.703  render           | Time: 00:01.23 (Saving: 00:00.18)
00:54.703  render           | Rendering frame 9
00:54.703  render           | Start rendering: Scene, ViewLayer
00:54.703  render           | Engine: EEVEE
00:54.828  render           | Fra: 9 | Rendering 1 / 64 samples
00:55.093  render           | Fra: 9 | Rendering 25 / 64 samples
